code;description
00;Dry seed
01;Beginning of seed imbibition
03;Seed imbibition complete
05;Radicle emerged from seed
07;Hypocotyl with cotyledons emerged from seed
08;Hypocotyl with cotyledons growing towards soil surface
09;Emergence: cotyledons emerge through soil surface
10;Cotyledons completely unfolded
11;First leaf unfolded
12;2 leaves unfolded
13;3 leaves unfolded
14;4 leaves unfolded
15;5 leaves unfolded
16;6 leaves unfolded
17;7 leaves unfolded
18;8 leaves unfolded
19;9 or more leaves unfolded
20;No side shoots
21;Beginning of side shoot development: first side shoot detectable
22;2 side shoots detectable
23;3 side shoots detectable
24;4 side shoots detectable
25;5 side shoots detectable
26;6 side shoots detectable
27;7 side shoots detectable
28;8 side shoots detectable
29;End of side shoot development: 9 or more side shoots detectable
30;Beginning of stem elongation: no internodes ("rosette")
31;1 visibly extended internode
32;2 visibly extended internodes
33;3 visibly extended internodes
34;4 visibly extended internodes
35;5 visibly extended internodes
36;6 visibly extended internodes
37;7 visibly extended internodes
38;8 visibly extended internodes
39;9 or more visibly extended internodes
50;Flower buds present, still enclosed by leaves
51;Flower buds visible from above ("green bud")
52;Flower buds free, level with the youngest leaves
53;Flower buds raised above the youngest leaves
55;Individual flower buds (main inflorescence) visible but still closed
57;Individual flower buds (secondary inflorescences) visible but still closed
59;First petals visible, flower buds still closed ("yellow bud")
60;First flowers open
61;10% of flowers on main raceme open, main raceme elongating
62;20% of flowers on main raceme open
63;30% of flowers on main raceme open
64;40% of flowers on main raceme open
65;Full flowering: 50% flowers on main raceme open, older petals falling
67;Flowering declining: majority of petals fallen
69;End of flowering
71;10% of pods have reached final size
72;20% of pods have reached final size
73;30% of pods have reached final size
74;40% of pods have reached final size
75;50% of pods have reached final size
76;60% of pods have reached final size
77;70% of pods have reached final size
78;80% of pods have reached final size
79;Nearly all pods have reached final size
80;Beginning of ripening: seed green, filling pod cavity
81;10% of pods ripe, seeds dark and hard
82;20% of pods ripe, seeds dark and hard
83;30% of pods ripe, seeds dark and hard
84;40% of pods ripe, seeds dark and hard
85;50% of pods ripe, seeds dark and hard
86;60% of pods ripe, seeds dark and hard
87;70% of pods ripe, seeds dark and hard
88;80% of pods ripe, seeds dark and hard
89;Fully ripe: nearly all pods ripe, seeds dark and hard
97;Plant dead and dry
99;Harvested product
