index;common_name;scientific_name;taxonomy;BBCH-scale
0;Durum wheat;Triticum turgidum subsp. durum;NCBI:txid4567;Cereals
1;Bread wheat;Triticum aestivum subsp. aestivum;NCBI:txid4565;Cereals
2;Barley;Hordeum vulgare subsp. vulgare;NCBI:txid112509;Cereals
3;Rice;Oryza sativa;NCBI:txid4530;Rice
4;Maize;Zea mays subsp. mays;NCBI:txid381124;Maize
5;Sunflower;Helianthus annuus;NCBI:txid4232;Sunflower
6;Oilseed rape;Brassica napus subsp. napus/oleifera;NCBI:txid138011;Oilseed_rape
7;Safflower;Carthamus tinctorius;NCBI:txid4222;Safflower
8;Soybean;Glycine max;NCBI:txid3847;Soybean
9;Tick bean;Vicia faba subsp. var. minor;NCBI:txid3907;Faba_bean
10;Chickpea;Cicer arietinum;NCBI:txid3827;Pea
11;Zucchini;Cucurbita pepo subsp. pepo;NCBI:txid3664;Cucurbits
12;Olive;Olea europaea;NCBI:txid4146;Olive
13;Grapevine;Vitis vinifera;NCBI:txid29760;Grapevine
14;Tomato;Solanum lycopersicon;NCBI:txid4081;Solanaceous_fruits
15;Onion;Allium cepa;NCBI:txid4679;Bulb vegetables
16;Potato;Solanum tuberosum;NCBI:txid4113;Potato
17;Soybean;Glycine max;NCBI:txid3847;Soybean
18;Lettuce;Lactuca;NCBI:txid4235;Leaf_vegetables
